tradRes1,tradRes2
火災,火灾
火藥,火药
火車,火车
火車站,火车站
火鍋,火锅
火雞,火鸡
灰塵,灰尘
灰色地帶,灰色地带
災呃,灾呃
災害,灾害
災後,灾后
災禍來臨,灾祸来临
災難,灾难
炎熱,炎热
炒飯,炒饭
炸彈,炸弹
炸藥,炸药
炸雞,炸鸡
為了什麼,为了什么
為人民服務,为人民服务
為什麼,为什么
烏合之眾,乌合之众
烏托邦,乌托邦
烏賊,乌贼
烏雲,乌云
烏鴉,乌鸦
烟雨濛濛,烟雨蒙蒙
烹飪,烹饪
無,无
無人,无人
無人之境,无人之境
無人問津,无人问津
無人機,无人机
無以回報,无以回报
無作為,无作为
無助,无助
無動於衷,无动于衷
無可奈何,无可奈何
無奈,无奈
無尾熊,无尾熊
無常,无常
無底洞,无底洞
無庸致疑,无庸致疑
無形,无形
無恥,无耻
無恥之徒,无耻之徒
無意義,无意义
無感,无感
無慮,无虑
無憂無慮,无忧无虑
無懼,无惧
無所無,无所无
無所畏懼,无所畏惧
無所謂,无所谓
無拘束,无拘束
無數,无数
無暇,无暇
無望,无望
無欲,无欲
無比,无比
無法,无法
無為而治,无为而治
無理,无理
無瑕,无瑕
無產,无产
無用,无用
無畏,无畏
無病呻吟,无病呻吟
無盡,无尽
無禮,无礼
無私,无私
無窮,无穷
無緣,无缘
無聊,无聊
無聲,无声
無能,无能
無能為力,无能为力
無自信,无自信
無良,无良
無色,无色
無語,无语
無謀,无谋
無趣,无趣
無辜,无辜
無邊無際,无边无际
無邊際,无边际
無間道,无间道
無限,无限
無限制,无限制
無限回廊,无限回廊
無限大,无限大
焦慮,焦虑
焦麻雞,焦麻鸡
焦點,焦点
然後,然后
然後呢,然后呢
煎鍋,煎锅
煎餅,煎饼
煎餅果子,煎饼果子
煙,烟
煙囪,烟囱
煙槍,烟枪
煙火,烟火
煙花,烟花
煙蒂,烟蒂
煙酒,烟酒
煙霧,烟雾
照顧,照顾
煩,烦
煩悶,烦闷
煩惱,烦恼
煩死,烦死
煩躁,烦躁
煮湯,煮汤
煲劇,煲剧
熊貓,熊猫
熟慮,熟虑
熟練,熟练
熱,热
熱帶雨林,热带雨林
熱心,热心
熱忱,热忱
熱情,热情
熱愛,热爱
熱氣,热气
熱氣球,热气球
熱水,热水
熱水器,热水器
熱水壺,热水壶
熱水澡,热水澡
熱潮,热潮
熱炒,热炒
熱的,热的
熱血,热血
熱褲,热裤
熱量,热量
熱鬧,热闹
熾熱,炽热
燃燒,燃烧
燈,灯
燈光,灯光
燈柱,灯柱
燈紅酒綠,灯红酒绿
燈謎,灯谜
燉蘑菇,炖蘑菇
燒,烧
燒傷,烧伤
燒殺擄掠,烧杀掳掠
燒焦,烧焦
燒臘,烧腊
燒賣,烧卖
燒香,烧香
燙,烫
燙傷,烫伤
燙染,烫染
營運,营运
營養,营养
燦爛,灿烂
燦爛的,灿烂的
燭光,烛光
爆肝的開始,爆肝的开始
爆頭,爆头
爛,烂
爛gag,烂gag
爛人,烂人
爛俗空洞的詞語,烂俗空洞的词语
爛片,烂片
爬樹,爬树
爭,争
爭吵,争吵
爭執,争执
爭產,争产
爭議,争议
爭鬥,争斗
父權,父权
父母生氣,父母生气
父母親,父母亲
父親,父亲
爺,爷
爺爺,爷爷
牆,墙
牆壁,墙壁
牆面,墙面
牙線,牙线
牙醫,牙医
牙齒,牙齿
牙齒缺口,牙齿缺口
牛仔褲,牛仔裤
牛排館,牛排馆
牛肉麵,牛肉面
牛豬馬羊,牛猪马羊
牛頓,牛顿
牧場物語,牧场物语
牧師,牧师
牧養,牧养
物價,物价
物種,物种
物資,物资
物質,物质
物體,物体
特價,特价
特別,特别
特殊時期,特殊时期
特種部隊,特种部队
特立獨行,特立独行
特諾伊,特诺伊
特質,特质
特長,特长
特點,特点
牽制,牵制
牽手,牵手
牽掛,牵挂
牽涉,牵涉
牽牛花,牵牛花
牽連,牵连
犯規,犯规
犯錯,犯错
狀元糕,状元糕
狀態,状态
狂亂,狂乱
狂歡,狂欢
狗仔隊,狗仔队
狡辯,狡辩
狩獵,狩猎
狩獵者,狩猎者
狹窄,狭窄
狼的親戚,狼的亲戚
猙獰,狰狞
猛獸,猛兽
猜測,猜测
猶太,犹太
猶豫,犹豫
獅子,狮子
獅子王,狮子王
獎勵,奖励
獎台,奖台
獎品,奖品
獎杯,奖杯
獎牌,奖牌
獎狀,奖状
獎盃,奖杯
獎金,奖金
獎項,奖项
獨一無二的,独一无二的
獨孤,独孤
獨居,独居
獨居女子,独居女子
獨特,独特
獨特的,独特的
獨立,独立
獨自,独自
獨自旅遊,独自旅游
獨處,独处
獨行,独行
獨裁,独裁
獲利,获利
獲取,获取
獵人,猎人
獵殺紅色十月,猎杀红色十月
獵物,猎物
獵犬,猎犬
獼猴桃,猕猴桃
率領,率领
玉鐲,玉镯
玉養人,玉养人
王一諾,王一诺
王國,王国
王維,王维
玩什麼,玩什么
玩樂,玩乐
玩脫,玩脱
玩遊戲,玩游戏
玲瓏,玲珑
玻璃蝦,玻璃虾
珍貴,珍贵
珠寶,珠宝
班級,班级
班聯會,班联会
現代,现代
現在,现在
現實,现实
現成物,现成物
球賽,球赛
球隊,球队
理據,理据
理論,理论
理財,理财
瑟瑟發抖,瑟瑟发抖
瑪利歐,玛利欧
瑪莉亞,玛莉亚
瑪麗亞,玛丽亚
瑪麗蓮夢露,玛丽莲梦露
瑪麗蘇,玛丽苏
瑰寶,瑰宝
環保,环保
環境,环境
環境汙染,环境污染
環衛工,环卫工
環遊世界,环游世界
瓊瑤,琼瑶
瓢潑,瓢泼
瓢蟲,瓢虫
瓶裝,瓶装
瓶頸,瓶颈
瓷窯,瓷窑
甘特圖,甘特图
甚麼,甚么
甜點,甜点
生命與共,生命与共
生夢,生梦
生態系統,生态系统
生日禮物,生日礼物
生氣,生气
生氣勃勃,生气勃勃
生物書,生物书
生理性徵,生理性征
生產,生产
生產力,生产力
生鏽,生锈
生長,生长
生靈,生灵
生魚片,生鱼片
產乳play,产乳play
產業,产业
產糧,产粮
甩難,甩难
由於,由于
甲午戰爭,甲午战争
电视劇,电视剧
男同學,男同学
男女關係,男女关系
男裝,男装
界線,界线
畏縮,畏缩
留學,留学
畢家索,毕家索
畢業,毕业
畢業旅行,毕业旅行
番屋企訓覺,番屋企训觉
畫,画
畫作,画作
畫像,画像
畫圈圈,画圈圈
畫家,画家
畫布,画布
畫意,画意
畫手,画手
畫板,画板
畫框,画框
畫畫,画画
畫筆,画笔
畫風,画风
畫龍點睛,画龙点睛
異乎尋常,异乎寻常
異國文化,异国文化
異常,异常
異形,异形
異性,异性
異或,异或
異裝癖,异装癖
異類,异类
當兵,当兵
疏離,疏离
疑問,疑问
疑問詞,疑问词
疑慮,疑虑
疫點,疫点
疲勞,疲劳
疲憊,疲惫
病嬌,病娇
病態,病态
病號服,病号服
痊癒,痊愈
痕跡,痕迹
痛癢,痛痒
痛覺,痛觉
痠痛,酸痛
痴漢,痴汉
瘋婆子,疯婆子
瘋子,疯子
瘋狂,疯狂
瘙癢,瘙痒
瘡,疮
療癒,疗愈
癌變,癌变
癢,痒
癩蛤蟆,癞蛤蟆
癲狂,癫狂
発達的最近接領域,発达的最近接领域
登山逕,登山迳
登記,登记
登陸,登陆
發,发
發光,发光
發動戰爭,发动战争
發呆,发呆
發售前,发售前
發展,发展
發布,发布
發想,发想
發抖,发抖
發條橙,发条橙
發燒,发烧
發病,发病
發瘋,发疯
發票,发票
發福,发福
發聲,发声
發育,发育
發芽,发芽
發表,发表
發財,发财
發财,发财
發達,发达
發達國家,发达国家
發電,发电
發霉,发霉
發麻,发麻
白日夢,白日梦
白樂天,白乐天
白淨,白净
白癡,白痴
白種人,白种人
白紙,白纸
白絹,白绢
白線,白线
白膠,白胶
白臉,白脸
白雲,白云
白雲黑土,白云黑土
白髮,白发
百摺裙,百折裙
百無一用,百无一用
百科全書,百科全书
百花爭豔,百花争艳
百萬,百万
百貨公司,百货公司
百貨商場,百货商场
的微風,的微风
的畫面,的画面
的話,的话
皚皚,皑皑
皚皚白雪,皑皑白雪
皮帶,皮带
皮膚,皮肤
皺眉,皱眉
皺眉頭,皱眉头
皺紋,皱纹
盒飯,盒饭
盛裝,盛装
盜取,盗取
盜墓,盗墓
盜夢偵探,盗梦侦探
盜賊,盗贼
監察院,监察院
監控,监控
監獄,监狱
監獄學園,监狱学园
盤商,盘商
盤子,盘子
盤絲洞,盘丝洞
盤髮,盘发
目光短淺,目光短浅
目標,目标
目錄,目录
盲從,盲从
盲點,盲点
直升機,直升机
直徑,直径
直系尊親屬,直系尊亲属
直線,直线
直腸子,直肠子
直覺,直觉
相冊,相册
相對,相对
相對位置,相对位置
相愛,相爱
相應,相应
相撲,相扑
相擁而眠,相拥而眠
相機,相机
相葉さん,相叶さん
相葉雅紀,相叶雅纪
相處,相处
相親,相亲
相關法律,相关法律
省空間,省空间
省錢,省钱
看不見,看不见
看仔細,看仔细
看見,看见
看護,看护
看門的,看门的
真偽,真伪
真實,真实
真實的虛假,真实的虚假
真心話,真心话
真摯,真挚
真誠,真诚
眼波流轉,眼波流转
眼淚,眼泪
眼睛上層,眼睛上层
眼神接觸,眼神接触
眼線,眼线
眼腹陰,眼腹阴
眼鏡,眼镜
眼鏡男,眼镜男
眾人皆可,众人皆可
眾籌,众筹
睏,困
睏倦,困倦
睜眼,睁眼
睜開眼,睁开眼
睡到飽,睡到饱
睡蓮,睡莲
睡覺,睡觉
睡覺的地方,睡觉的地方
睡過頭,睡过头
睪丸,睾丸
瞬間,瞬间
瞭解,了解
瞭解事物,了解事物
矇昧,蒙昧
矜貴,矜贵
知曉,知晓
知根徹底,知根彻底
知識,知识
知識產權,知识产权
知錯能改,知错能改
矩陣,矩阵
短暫,短暂
短處,短处
短褲,短裤
矯正,矫正
石庫門,石库门
石頭,石头
砂锅燉鱼头,砂锅炖鱼头
砲彈,砲弹
破壞,破坏
破壞王,破坏王
破敗,破败
破爛,破烂
破產,破产
破產姐妹,破产姐妹
破綻,破绽
破繭而出,破茧而出
破關,破关
硃砂,朱砂
硬幣,硬币
硬頸,硬颈
硬體,硬体
碎語,碎语
碩士,硕士
碰觸,碰触
碳單質,碳单质
確かに,确かに
確定,确定
確認,确认
確認的英文,确认的英文
碼頭,码头
磁鐵,磁铁
磚,砖
磚頭,砖头
磨盤,磨盘
磨難,磨难
礦坑,矿坑
礦山,矿山
礦產,矿产
社交恐懼,社交恐惧
社區,社区
社團,社团
社會,社会
社會倫理,社会伦理
社會反射,社会反射
社會地位,社会地位
社會福利,社会福利
社會精英,社会精英
祈禱,祈祷
祕密,秘密
祖國,祖国
祖瑪瓏,祖玛珑
祝賀,祝贺
神奇寶貝,神奇宝贝
神學院,神学院
神秘麥田,神秘麦田
神經,神经
神經病,神经病
神聖,神圣
神話,神话
神選,神选
祭壇,祭坛
禁慾,禁欲
禁止進入,禁止进入
禁錮,禁锢
禁食豬肉,禁食猪肉
禍害,祸害
福爾摩斯,福尔摩斯
禪,禅
禮儀,礼仪
禮堂,礼堂
禮服,礼服
禮物,礼物
禮節,礼节
禮讓,礼让
禮貌,礼貌
禱告,祷告
禿,秃
禿頂,秃顶
禿頭,秃头
秀髮,秀发
私家車,私家车
私處,私处
秋名山車神,秋名山车神
秋葉,秋叶
科學,科学
科學研究,科学研究
科舉,科举
秘書長,秘书长
租約,租约
移動,移动
稀飯,稀饭
稅,税
稅收,税收
稜角,棱角
種了一箭,种了一箭
種子,种子
種族,种族
種族主義,种族主义
種田,种田
種類,种类
稱呼,称呼
稱職,称职
稱讚,称赞
稱量,称量
稿紙,稿纸
穀倉,谷仓
積德,积德
積極,积极
積累,积累
穩健,稳健
穩定,稳定
穩重,稳重
空曠,空旷
空檔,空档
空殼,空壳
空氣,空气
空氣質素,空气质素
空蕩蕩,空荡荡
空調,空调
空軍,空军
空閒,空闲
空間,空间
空間感,空间感
空靈,空灵
突發,突发
突發事件,突发事件
突襲,突袭
窗戶,窗户
窗簾,窗帘
窩,窝
窩心,窝心
窪田正孝,洼田正孝
窮,穷
窮人,穷人
窮途,穷途
窮遊,穷游
竄天猴,窜天猴
竇娥,窦娥
立場,立场
立斷,立断
立方體,立方体
立體,立体
立體主義,立体主义
站崗,站岗
童叟無欺,童叟无欺
童裝,童装
童話,童话
童話故事,童话故事
竪大姆指,竖大姆指
端莊,端庄
競技,竞技
競爭,竞争
竹桿,竹杆
竹簍,竹篓
竹籃,竹篮
竹蓆,竹席
笑聲,笑声
笑話,笑话
符號,符号
笨豬跳,笨猪跳
第一個,第一个
第一反應,第一反应
第二件半價,第二件半价
筆,笔
筆墨,笔墨
筆壓,笔压
筆法,笔法
筆畫,笔画
筆芯,笔芯
筆記,笔记
等級,等级
筍,笋
答對題目,答对题目
答應,答应
答題,答题
策劃,策划
算盤,算盘
管弦樂,管弦乐
箭頭,箭头
節,节
節制,节制
節奏,节奏
節日,节日
節目大學生了沒,节目大学生了没
節目康熙來了,节目康熙来了
節省,节省
節選,节选
範圍,范围
簡單,简单
簡寫,简写
簡要,简要
簽,签
簽合同,签合同
簽證,签证
籃子,篮子
籃板,篮板
籃球,篮球
籃球隊,篮球队
籠子,笼子
籬笆,篱笆
米開羅基朗,米开罗基朗
米飯,米饭
米飯班主,米饭班主
粉塵,粉尘
粉筆,粉笔
粉紅,粉红
粉紅色,粉红色
粉紅豬,粉红猪
粉絲,粉丝
粗魯,粗鲁
精準,精准
精神不濟,精神不济
精神緊張,精神紧张
精細,精细
精華液,精华液
精銳,精锐
精靈,精灵
糉子,粽子
糕點,糕点
糞便,粪便
糧食,粮食
系學會,系学会
系統,系统
糾纏不清,纠缠不清
紀律,纪律
紀律部隊,纪律部队
紀念,纪念
紀念碑,纪念碑
紀曉嵐,纪晓岚
紀錄,纪录
約定,约定
約會,约会
約束,约束
約束（日本語）,约束（日本语）
約炮,约炮
紅,红
紅十字,红十字
紅十字會,红十字会
紅唇,红唇
紅撲撲,红扑扑
紅斑,红斑
紅旗,红旗
紅日,红日
紅榜,红榜
紅海,红海
紅燒魚,红烧鱼
紅白,红白
紅的,红的
紅磚屋,红砖屋
紅綠燈,红绿灯
紅綠燈號,红绿灯号
紅腫,红肿
紅色,红色
紅色，喜悅,红色，喜悦
紅藍螺旋,红蓝螺旋
紅蘿蔔,红萝卜
紅血球,红血球
紅豆,红豆
紅豆餅,红豆饼
紅酒,红酒
紅領巾,红领巾
紅顏,红颜
紅鯉魚,红鲤鱼
紋路,纹路
納粹,纳粹
紐西蘭,纽西兰
純潔,纯洁
純熟,纯熟
純白,纯白
純真,纯真
紙,纸
紙團,纸团
紙巾,纸巾
紙幣,纸币
紙張,纸张
紙條,纸条
紙燈籠,纸灯笼
紙片,纸片
紙牌,纸牌
紙的觸感,纸的触感
紙筆,纸笔
紙箱,纸箱
紙膠帶,纸胶带
紙錢,纸钱
級別,级别
紛爭,纷争
素未謀面,素未谋面
素質,素质
紡織,纺织
索賠額多,索赔额多
紫紅色,紫红色
紮心了老頭,扎心了老头
累積,累积
細,细
細佬,细佬
細妹,细妹
細密,细密
細小的砂石,细小的砂石
細微,细微
細心,细心
細心照顧,细心照顾
細碎,细碎
細磨的東西,细磨的东西
細緻,细致
細胞,细胞
細膩,细腻
細菌,细菌
細長,细长
紳士,绅士
終會別離,终会别离
終極一班,终极一班
終點,终点
組別,组别
組合,组合
組織,组织
組長,组长
結伴同遊,结伴同游
結冰,结冰
結凍,结冻
結婚,结婚
結實,结实
結局,结局
結廬在人境,结庐在人境
結晶,结晶
結束,结束
結果,结果
結構,结构
結構注意,结构注意
結界,结界
結論,结论
絕對,绝对
絕對領域,绝对领域
絕情,绝情
絕望,绝望
絕種,绝种
絕路,绝路
絞刑,绞刑
給予,给予
給你一巴掌,给你一巴掌
給我滾,给我滚
絨毛,绒毛
統一,统一
統一戰線,统一战线
統整,统整
統治,统治
統計學,统计学
統計結果,统计结果
絲巾,丝巾
絲絨,丝绒
絲綢,丝绸
絲綢之路,丝绸之路
絲線,丝线
絲襪,丝袜
絲路,丝路
綁定,绑定
綁帶,绑带
綁架,绑架
綁票,绑票
綑綁,捆绑
經,经
經典,经典
經典名著,经典名著
經商,经商
經常,经常
經文,经文
經期,经期
經歷,经历
經濟,经济
經濟來源,经济来源
經營,经营
經理,经理
經痛,经痛
經過,经过
經驗,经验
經驗豐富,经验丰富
綜藝,综艺
綜藝節目,综艺节目
綠,绿
綠巨人,绿巨人
綠油油,绿油油
綠綠,绿绿
綠色,绿色
綠茶,绿茶
綠茶婊,绿茶婊
綠葉,绿叶
綠豆,绿豆
綠豆湯,绿豆汤
綢緞,绸缎
維修,维修
維權,维权
維權人士,维权人士
維穩,维稳
維納斯,维纳斯
綱要,纲要
網上衝浪,网上冲浪
網子,网子
網站,网站
網絡,网络
網絡紅人,网络红人
網購平台,网购平台
網路,网路
網頁,网页
綿羊,绵羊
緊張,紧张
緊急,紧急
緊急制,紧急制
緊急呼叫,紧急呼叫
緊慎,紧慎
緊緻,紧致
緊繃,紧绷
緊迫,紧迫
緊閉,紧闭
緋聞,绯闻
緙,缂
線,线
線性代數,线性代数
線條,线条
線索,线索
緞帶,缎带
緣,缘
編舟記,编舟记
編號,编号
編輯,编辑
緩慢,缓慢
練習,练习
縫線,缝线
縫衣服,缝衣服
縫補,缝补
縫隙,缝隙
縮,缩
縮手,缩手
總之，難在人間安處,总之，难在人间安处
總動員,总动员
總司令,总司令
總結,总结
總統,总统
總經理,总经理
總裁:,总裁:
總計,总计
繁瑣,繁琐
繁華,繁华
繁複,繁复
繁體,繁体
繁體字,繁体字
繃帶,绷带
織女,织女
織布機,织布机
繞路,绕路
繡像,绣像
繩子,绳子
繪畫,绘画
繭,茧
繳費,缴费
繼承,继承
繼父,继父
繼續,继续
繼續睡,继续睡
繽紛,缤纷
繽紛的,缤纷的
纍纍,累累
绝巘,绝
缺損,缺损
缺點,缺点
罐頭,罐头
罕見,罕见
罪惡,罪恶
罵,骂
罵人,骂人
罵戰,骂战
罵街,骂街
羅布泊,罗布泊
羅曼蒂克,罗曼蒂克
羅盤,罗盘
羅馬,罗马
羈旅,羁旅
羈絆,羁绊
美國,美国
美女與野獸,美女与野兽
美容師,美容师
美術,美术
美術品,美术品
美顏,美颜
美麗,美丽
羞恥,羞耻
羞澀,羞涩
群眾,群众
群眾精神寄託,群众精神寄托
群體,群体
羨ましい,羡ましい
羨慕,羡慕
義,义
義務,义务
義士,义士
義大利,义大利
義工,义工
義氣,义气
羽絨,羽绒
翁萬特,翁万特
翠綠,翠绿
翹二郎腿,翘二郎腿
翻譯,翻译
翻開,翻开
老婦,老妇
老媽我可以搬出去啦！！,老妈我可以搬出去啦！！
老學究,老学究
老實,老实
老實人,老实人
老師,老师
老師的兒子,老师的儿子
老樹,老树
老爺,老爷
老舊,老旧
老花眼鏡,老花眼镜
老闆,老板
老頭,老头
老鷹,老鹰
考慮,考虑
考試,考试
考試成績,考试成绩
考試通過,考试通过
考證,考证
考驗,考验
而過,而过
耍帥,耍帅
耳環,耳环
耳聰目明,耳聪目明
耶和華,耶和华
耶穌,耶稣
耶穌基督的愛,耶稣基督的爱
聖杯,圣杯
聖歌,圣歌
聖經,圣经
聖誕樹,圣诞树
聖誕節,圣诞节
聚會,聚会
聞,闻
聞雞,闻鸡
聯合,联合
聯合國,联合国
聯想,联想
聯結,联结
聯絡,联络
聯繫,联系
聯通,联通
聰明,聪明
聲優,声优
聲光影音,声光影音
聲明,声明
聲樂,声乐
聲稱,声称
聲線,声线
聲音,声音
聲響,声响
聶隱娘,聂隐娘
職位,职位
職務,职务
職員,职员
職場,职场
職業,职业
職業微笑,职业微笑
職涵,职涵
聽,听
聽到,听到
聽力測試,听力测试
聽見,听见
聾,聋
聾子,聋子
肅殺,肃杀
肅靜,肃静
肉包鐵,肉包铁
肉塊,肉块
肚臍,肚脐
肚餓,肚饿
股票市場,股票市场
肢體,肢体
背後,背后
背東西,背东西
胎兒,胎儿
胎盤,胎盘
胡思亂想,胡思乱想
胡謅,胡诌
脂質,脂质
脈絡,脉络
脫皮,脱皮
脫節,脱节
脫貧,脱贫
脾氣,脾气
脾臟,脾脏
腎上腺素,肾上腺素
腐壞,腐坏
腐敗,腐败
腐爛,腐烂
腦,脑
腦中風,脑中风
腦力,脑力
腦子,脑子
腦漿,脑浆
腦細胞,脑细胞
腦袋,脑袋
腫瘤,肿瘤
腮紅,腮红
腰圍,腰围
腰帶,腰带
腳,脚
腳印,脚印
腳尖,脚尖
腳底抹油,脚底抹油
腳指甲,脚指甲
腳步,脚步
腳眼,脚眼
腳踏車,脚踏车
腳踝,脚踝
腸胃,肠胃
膚淺,肤浅
膝蓋痛,膝盖痛
膠,胶
膠囊,胶囊
膠布,胶布
膠帶,胶带
膠水,胶水
膠著,胶著
膽固醇,胆固醇
膽小,胆小
膽小鬼,胆小鬼
膽怯,胆怯
臂彎,臂弯
臉,脸
臉孔,脸孔
臉紅,脸红
臉紅紅的女人,脸红红的女人
臉蛋,脸蛋
臉部,脸部
臍帶,脐带
臟,脏
臨行密密縫,临行密密缝
自動,自动
自我發現,自我发现
自我認知,自我认知
自殘,自残
自殺,自杀
自治區,自治区
自然景觀,自然景观
自然災害,自然灾害
自然選擇,自然选择
自閉,自闭
臭水溝,臭水沟
至極,至极
至高無上,至高无上
致人於死地,致人于死地
致幻劑,致幻剂
臺,台
臺灣人,台湾人
與眾不同,与众不同
興奮,兴奋
興旺,兴旺
興趣,兴趣
舉例太少,举例太少
舉手之勞,举手之劳
舉杯,举杯
舉槍,举枪
舉止,举止
舉重,举重
舊,旧
舊事,旧事
舊人,旧人
舊衣服,旧衣服
舌頭,舌头
舒緩,舒缓
舒適,舒适
舒適衣服,舒适衣服
舞動,舞动
舞台劇,舞台剧
舞孃,舞娘
舞廳,舞厅
航空母艦,航空母舰
船員,船员
船槳,船桨
船長,船长
艱辛,艰辛
艱難,艰难
芋頭,芋头
花園,花园
花壇,花坛
花崗,花岗
花紋,花纹
花花綠綠,花花绿绿
花費,花费
花錢,花钱
花開,花开
苦惱,苦恼
苦澀,苦涩
苦澀味,苦涩味
苦難,苦难
英國,英国
英文中的粉絲,英文中的粉丝
英文單字,英文单字
英氣,英气
英語,英语
英雄聯盟,英雄联盟
范偉琪,范伟琪
范圍,范围
茅臺,茅台
茶壺,茶壶
茶樓,茶楼
茶水間,茶水间
茶葉,茶叶
茶葉蛋,茶叶蛋
茶藝,茶艺
草泥馬,草泥马
荊棘,荆棘
荒涼,荒凉
荒誕,荒诞
荒謬,荒谬
荔園,荔园
荷葉飯,荷叶饭
荷蘭,荷兰
荷蘭村,荷兰村
莊周,庄周
莊子,庄子
莊稼,庄稼
莊稼田野,庄稼田野
莫測,莫测
菌絲,菌丝
菜市場,菜市场
菜餚,菜肴
華中,华中
華人,华人
華僑,华侨
華北,华北
華夏,华夏
華山,华山
華服,华服
華為,华为
華爾滋,华尔滋
華航,华航
華麗な,华丽な
華麗的,华丽的
華麗腐敗,华丽腐败
菸臭味,烟臭味
菸草,烟草
萬世,万世
萬歲,万岁
萬物復甦,万物复苏
萬能,万能
萬里,万里
萬里長城,万里长城
萬里長征,万里长征
萬馬奔騰,万马奔腾
萬麗娜,万丽娜
落實,落实
落後,落后
落葉,落叶
落選,落选
葉,叶
葉修,叶修
葉子,叶子
葉綠體,叶绿体
葫蘆,葫芦
葫蘆娃,葫芦娃
葬禮,葬礼
蒐集,搜集
蒙娜麗莎,蒙娜丽莎
蒸氣,蒸气
蒸餾水,蒸馏水
蒼狗,苍狗
蒼白,苍白
蓉麽麽,蓉么么
蓋,盖
蓋房子,盖房子
蓋章,盖章
蓋耳朵,盖耳朵
蔥花,葱花
蕭何,萧何
蕭瑟,萧瑟
蕭索,萧索
蕭邦,萧邦
蕾絲,蕾丝
薑,姜
薑茶,姜茶
薪資,薪资
藉口,借口
藉由,借由
藍,蓝
藍光,蓝光
藍圖,蓝图
藍天白雲,蓝天白云
藍灣,蓝湾
藍色,蓝色
藍色襯衫,蓝色衬衫
藍莓,蓝莓
藍領,蓝领
藍鯨,蓝鲸
藏寶,藏宝
藝人,艺人
藝妓,艺妓
藝術,艺术
藝術史,艺术史
藝術品,艺术品
藝術家,艺术家
藥,药
藥典,药典
藥劑,药剂
藥劑師,药剂师
藥局,药局
藥片,药片
藥物,药物
藥膏,药膏
藥酒,药酒
藻類,藻类
蘇州,苏州
蘇打水,苏打水
蘇杭,苏杭
蘇東坡,苏东坡
蘇格拉底,苏格拉底
蘇童,苏童
蘇維埃,苏维埃
蘇联,苏联
蘇軾,苏轼
蘋果,苹果
蘋果汁,苹果汁
蘑菇雲,蘑菇云
蘭州,兰州
蘿莉,萝莉
蘿蔔,萝卜
虎克船長,虎克船长
虎門,虎门
虔誠,虔诚
處女,处女
處女座,处女座
處方,处方
處方簽,处方签
處理,处理
處理好,处理好
處男,处男
處罰,处罚
處關係,处关系
虛假,虚假
虛偽,虚伪
虛幻,虚幻
虛弱,虚弱
虛擬,虚拟
虛渺,虚渺
虛無,虚无
虛空,虚空
號,号
號碼,号码
號角,号角
虧損,亏损
虧欠,亏欠
虧蝕,亏蚀
蚜蟲,蚜虫
蛋殼,蛋壳
蛋漿,蛋浆
蛋白質,蛋白质
蜘蛛絲,蜘蛛丝
蜚語,蜚语
蝗蟲,蝗虫
蝙蝠俠,蝙蝠侠
蝦仁,虾仁
蝴蝶效應,蝴蝶效应
蝴蝶結,蝴蝶结
蝴蝶蘭,蝴蝶兰
蝸牛,蜗牛
螞蚱,蚂蚱
螞蟻,蚂蚁
螢幕,萤幕
螺絲,螺丝
螺絲起子,螺丝起子
蟬,蝉
蟲,虫
蟲洞,虫洞
蟲飛,虫飞
蠍子,蝎子
蠕動,蠕动
蠟筆,蜡笔
蠶,蚕
蠶寶寶,蚕宝宝
蠶絲,蚕丝
蠻橫,蛮横
血淚,血泪
血緣,血缘
血緣關係,血缘关系
血親,血亲
行動,行动
行動力,行动力
行政樞紐,行政枢纽
行為,行为
衛星,卫星
衛生,卫生
衛生巾,卫生巾
衛生棉,卫生棉
衛生棉條,卫生棉条
衛生眠,卫生眠
衛生紙,卫生纸
衛生股長,卫生股长
衛衣,卫衣
衝動,冲动
衝突,冲突
衣冠塚,衣冠冢
衣櫃,衣柜
衣衫襤褸,衣衫褴褛
表揚,表扬
表演型人格障礙,表演型人格障碍
表現,表现
表現優良,表现优良
表現慾,表现欲
表現能力,表现能力
表示兩人有曖昧或更為深入的關係,表示两人有暧昧或更为深入的关系
表達,表达
表面積,表面积
被浪費,被浪费
被窩,被窝
被記曠課,被记旷课
被誤導,被误导
裏切,里切
裏面,里面
裙擺,裙摆
補習,补习
補身體,补身体
裝修,装修
裝扮,装扮
裝瞎,装瞎
裝神弄鬼,装神弄鬼
裝置,装置
裝逼,装逼
裝飾,装饰
裡面,里面
複印,复印
複雑,复雑
複雜,复杂
褒揚,褒扬
褲,裤
褲子,裤子
襦絆,襦绊
襯衫,衬衫
襲擊,袭击
西方樂器,西方乐器
西洋劍,西洋剑
西裝,西装
西裝褲,西装裤
西遊記,西游记
西關大屋,西关大屋
西雅圖,西雅图
西餅,西饼
西餅蛋糕,西饼蛋糕
要什麼,要什么
要據,要据
要領,要领
見,见
見多識廣,见多识广
見的多了,见的多了
見解,见解
見面,见面
規則,规则
規劃,规划
規定,规定
規律,规律
規矩,规矩
規章,规章
規範,规范
規限,规限
視力,视力
視屏,视屏
視神經,视神经
視網膜,视网膜
視線,视线
視而不見,视而不见
視覺,视觉
視角,视角
視野,视野
視頻,视频
親人,亲人
親友,亲友
親吻,亲吻
親密,亲密
親密感,亲密感
親密關係,亲密关系
親愛的,亲爱的
親戚,亲戚
親昵,亲昵
親暱,亲暱
親近,亲近
覺醒,觉醒
