resWLsymbol1,resWLsymbol2
"没时间了！",没时间了
"没有的话说，",没有的话说
"没来 ",没来
"没礼貌？",没礼貌
"没纸啦！",没纸啦
"没见过…",没见过
"没见过了。",没见过了
"没钱吃饭了（",没钱吃饭了
"油画《父亲》",父亲
"油而不腻 ",油而不腻
"法律 法规",法律法规
"法鲨（演员）",#Symbol
"泡在被窝/暖水里不想出去",#Symbol
"泥巴…",泥巴
"泥泞大路，水洼坑坑",#Symbol
"泰国q10",#Symbol
"泰国、",泰国
"洗面奶、",洗面奶
"浓缩‘",浓缩
"浩瀚'",浩瀚
"海伦·凯勒",海伦凯勒
"海湾城歌手机器官方标配有什么好玩的地方推荐给我看看有没有时间长了一个星期六星期天放假几天能到吧台车了！",#Symbol
"海豚????",海豚
"海贼王？",海贼王
"海里。",海里
"润滑。。",润滑
"淡定'",淡定
"深奥！",深奥
"深藏在心里，对你的复杂情感",#Symbol
"混子（？）",混子
"清白的话说，",#Symbol
"渣渣！",渣渣
"游戏.",游戏
"游戏5人本",#Symbol
"游戏……",游戏
"溜来溜去。",溜来溜去
"滑溜溜、",滑溜溜
"滚床单…",滚床单
"滚！",滚
"满足1",满足
"滴滴'",滴滴
"滴滴滴  索拉卡",#Symbol
"滴滴滴滴滴滴  boom",#Symbol
"滴！学生卡",#Symbol
"滴，皇上卡",#Symbol
"漂亮·",漂亮
"漂亮（帅）",漂亮
"澳大利亚？？",澳大利亚
"激战2",激战
"火????",火
"火车？",火车
"灯笼''",灯笼
"灰尘太多了，，",灰尘太多了
"灾难''",灾难
"炒菜，",炒菜
"炖汤3",炖汤
"炭治郎（）",炭治郎
"炸裂！",炸裂
"点它！",点它
"烤鳕鱼 ",烤鳕鱼
"烦！",烦
"烧脑√",烧脑
"烧饼、",烧饼
"烫染‘",烫染
"热情、",热情
"焕活、",#Symbol
"然后呢？",然后呢
"煤气'",煤气
"照。我照不出了",#Symbol
"熊猫！",熊猫
"熊！",熊
"爬，",爬
"爱????",爱
"爱与和平！",爱与和平
"爱国的我…",爱国的我
"爱心、",爱心
"爱情'",爱情
"爱豆！",爱豆
"爱钱 ",爱钱
"牙膏……",牙膏
"牛奶！",牛奶
"牢固'",牢固
"牢狱'",牢狱
"物理‘",物理
"特意！",特意
"犯罪？",犯罪
"状态，",状态
"狐狸溜走了。",狐狸溜走了
"狗狗？",狗狗
"独孤1",#Symbol
"独立⼃",独立
"猎豹'",猎豹
"猜忌'",猜忌
"猫！",猫
"王♂",王
"王冠????",王冠
"王凯旋（电影《寻龙诀》）",王凯旋
"王子。",王子
"王思聪？",王思聪
"王耀（",王耀
"玛丽莲·梦露",玛丽莲梦露
"玩耍‘’",玩耍
"玩！",玩
"环境'",环境
"环境''",环境
"现在！",现在
"珍妮·古道尔",珍妮古道尔
"珍妮•古多尔",珍妮古多尔
"理想状态！",理想状态
"理？",理
"瓶：",瓶
"甜、",甜
"甜美'",甜美
"甜？",甜
"生命'",生命
"生活'''",生活
"生理性汗♂水",生理性汗水
"用功;",用功
"申雪/赵宏博",#Symbol
"电影《你的名字》",你的名字
"电影《迷雾》",迷雾
"电影？",电影
"电瓶车、",电瓶车
"电线、",电线
"电脑 键盘",电脑键盘
"电脑/笔记本",#Symbol
"电视剧？",电视剧
"男♂孩子",男孩子
"男人????",男人
"男女 ",男女
"男朋友！！",男朋友
"男的女的？",男的女的
"画画、",画画
"画面  -",画面
"畅想2030",#Symbol
"疑似病例卡吗？",#Symbol
"疑问·",疑问
"痛苦'",痛苦
"白丝....",白丝
"白痴 ",白痴
"白色胡子'",白色胡子
"白菜????",白菜
"百分30%",#Symbol
"百分之50",#Symbol
"百度/谷歌",#Symbol
"的s d是d 是的s",#Symbol
"的……",的
"的事情·",的事情
"的人·",的人
"的夏天（。",的夏天
"的我自己？",#Symbol
"的臂膀？",#Symbol
"的还想要？",#Symbol
"皇上 皇后",皇上皇后
"皇帝↗",皇帝
"皮肤苍白？",皮肤苍白
"皮革 ",皮革
"监狱'''",监狱
"盖了！",盖了
"盖什么？",#Symbol
"直城门！",直城门
"直行，然后左拐就到了",#Symbol
"相比于现在古代可能比较落后。",#Symbol
"盼望什么？",盼望什么
"盾牌呢？",盾牌呢
"看了八百遍战狼2",#Symbol
"看到家人痛苦我也痛苦 想办法结束痛苦",#Symbol
"看电视/电影",#Symbol
"看门狗2",看门狗
"真实？",真实
"真情？",真情
"真棒！",真棒
"真的好看。",真的好看
"真的没事？",真的没事
"真的要填？！",真的要填
"真的？",真的
"真相。",真相
"真美！",真美
"眼泪？",眼泪
"眼睛????",眼睛
"睡不着'",睡不着
"睡觉  还有好多喜欢的呀",#Symbol
"睡觉'",睡觉
"睾丸。。",睾丸
"知识产权  知识产权保护 知识产权法律",#Symbol
"短信 信息",短信信息
"短路·",短路
"石可⭐",#Symbol
"码字的氛围，就是里番",#Symbol
"砂锅????",砂锅
"砂锅里面前面的确是我的话说，，",#Symbol
"研墨'",研墨
"砰！！",砰
"破云 ",破云
"破坏'",破坏
"破网！",破网
"破裂了吗？",破裂了吗
"破；",破
"砸！瓦鲁多！",#Symbol
"硬♂",硬
"磨难‘’",磨难
"社会主义？",社会主义
"祖冲之？",祖冲之
"祝福、",祝福
"神夏.",神夏
"神夏203",#Symbol
"神经病 ",神经病
"神话 ",神话
"禁欲！！",禁欲
"禁！",禁
"福尔摩斯'",福尔摩斯
"福尔摩斯/夏洛克",#Symbol
"离出，分多份",#Symbol
"离婚'",离婚
"离骚1",离骚
"秃头？",秃头
"秋天、",秋天
"科目二'",科目二
"秘剑·燕返（fate里的",秘剑燕返
"租赁。",租赁
"秦明？？",秦明
"稀疏、",稀疏
"税率？",税率
"稳定。",稳定
"稿子写不完…",#Symbol
"穷醒.jpg",#Symbol
"空心？",空心
"突然.",突然
"突然怀念还有考试计分的日子（",#Symbol
"突然！",突然
"窈窕淑女，君子好逑",窈窕淑女君子好逑
"窗外‘’",窗外
"窗户〔你懂〕",窗户
"站住！",站住
"竞争11",#Symbol
"章光101",#Symbol
"童真、",童真
"竹。",竹
"笑、",笑
"笑气？",笑气
"笨蛋！",笨蛋
"第1次见面",#Symbol
"第6感",第六感
"第一第二第…",#Symbol
"第一篇。",第一篇
"第五(姓氏)",#Symbol
"简单，",简单
"简爱'",简爱
"算法。÷",算法
"管风琴？",管风琴
"米3",#Symbol
"米国（美国）",#Symbol
"米尔斯·海默",米尔斯海默
"米饭????",米饭
"米？",米
"粒子‘",粒子
"粗心‘",粗心
"粗心大意2",粗心大意
"粤语：不知道",不知道
"粥 了",#Symbol
"粥？",粥
"精彩！",精彩
"精神'",精神
"糖（北美的）",糖
"糟心'",糟心
"糟糠、",糟糠
"系(xi)",#Symbol
"紧随其后·",紧随其后
"累 ",累
"累'",累
"總裁:",总裁
"红色煤'",#Symbol
"红色的❌",红色的
"约柜（……）",约柜
"练习'",练习
"组织 ",组织
"细♂腻",细腻
"细腻/粗糙",#Symbol
"细菌感染，，",细菌感染
"终止·",终止
"经济'",经济
"经济发展？",经济发展
"经纬3",经纬
"绑手…",绑手
"结冰了，，",结冰了
"结合漫画 游戏的acg产业",#Symbol
"结婚了吗？？",结婚了吗
"结婚（。",结婚
"结束吧。",结束吧
"绘图铅笔3H",#Symbol
"给你82分",#Symbol
"绝大部分时候需要回答“很棒”的问题",#Symbol
"绝对是！！",绝对是
"续'",续
"续1s",#Symbol
"维CB2",#Symbol
"维生素。",维生素
"绿色环保。",绿色环保
"缺口/缺陷",#Symbol
"缺少 ",缺少
"罐头'",罐头
"网易163",#Symbol
"网盘…共享？",#Symbol
"网盘。",网盘
"罪犯 ",罪犯
"羊肉串！！",羊肉串
"美丽.",美丽
"美味哦·",#Symbol
"美国。。。",美国
"美女的背（哧溜）",#Symbol
"美女（）",美女
"美女，",美女
"美少女的腿！",美少女的腿
"美术？",美术
"美食（？）",美食
"羞耻2",羞耻
"羽毛球.",羽毛球
"翩翩起舞 ",翩翩起舞
"老人 ",老人
"老哥，稳",老哥稳
"老师 ",老师
"老师????",老师
"老师（三三",#Symbol
"老是，",老是
"老滚5",老滚5
"老王？",老王
"老饕、",老饕
"考n3",#Symbol
"考试 家长",考试家长
"而过……",而过
"耐力'",耐力
"耐操……",耐操
"耕作？",耕作
"耶稣''",耶稣
"耶！",耶
"耶（语气）",耶
"联想就是随便说吗？",#Symbol
"肉体'",肉体
"肉！",肉
"肚子疼，，",肚子疼
"股^",股
"肥皂'",肥皂
"胃，你好吗？",#Symbol
"背课文？",背课文
"背！！！！！",背
"胖'",胖
"胖三斤！！！",胖三斤
"胖子？",胖子
"胜利？",胜利
"能吃？",能吃
"能怎么样？",#Symbol
"脏'",脏
"脑子 ",脑子
"脑子????",脑子
"脚趾 ",脚趾
"脱（",脱
"脸型'",脸型
"腐……",腐
"膜…",膜
"膝盖0咯嘣",#Symbol
"自然 人",自然人
"臭味相投''",臭味相投
"臭，",臭
"舍友？",舍友
"舒淇？",舒淇
"舞！舞！舞！",#Symbol
"色彩'",色彩
"艳羡，",艳羡
"艾德·希兰",艾德希兰
"艾米.艾克",艾米艾克
"花儿 草儿 车儿",#Symbol
"花生油'''",花生油
"花花绿绿的？",花花绿绿的
"花钱 ",花钱
"花？？",花
"苏西（动画角色）",苏西
"苗阜 王声",苗阜王声
"苟……",苟
"苦瓜，",苦瓜
"苦的'''",苦的
"英文和一个卫生棉牌子很像....",#Symbol
"英语单词……",英语单词
"英雄？",英雄
"苹果????",苹果
"茕茕孑立 形影相吊",#Symbol
"茫然。",茫然
"茴香豆 孔乙己",#Symbol
"草原】",草原
"草？",草
"荒川【yys",#Symbol
"药????",药
"药丸（要完）",药丸
"获得奇迹、",获得奇迹
"莽撞，",莽撞
"菜】",菜
"菜肴、",菜肴
"萌大奶！",萌大奶
"萌！",萌
"落榜、",落榜
"蓝牙耳机坏了，，",#Symbol
"蓝翔…………",蓝翔
"蓝（电影名）",蓝
"薛之谦！！！",薛之谦
"虚幻3",虚幻3
"蚂蚁？",蚂蚁
"蚊子衮！",#Symbol
"蛋蛋！",蛋蛋
"蛤?",蛤
"蛤？",蛤
"蜂蜜????",蜂蜜
"蜜蜂？？",蜜蜂
"蜻蜓队长、",蜻蜓队长
"蜿蜒曲折，延绵不绝",#Symbol
"血精灵！",血精灵
"衣服了，，",#Symbol
"补充 ",补充
"表情包…",表情包
"表白【？】",表白
"衷心】",衷心
"袁雪静·",#Symbol
"袄，还棉裤勒",#Symbol
"袍子裹在身上，很舒服",#Symbol
"被别人绿了（笑）",#Symbol
"被坑了，难受",#Symbol
"被套路上班主任的话，",#Symbol
"被打了？",被打了
"被水淹没……",被水淹没
"装、",装
"装备（游戏）",装备
"装废品 ",装废品
"裤头紧了！",#Symbol
"要下雨，雷欧",#Symbol
"要好好摆放，不整理就会乱掉",#Symbol
"要给我东西？",要给我东西
"见’",见
"角落里面的话，",#Symbol
"解:……得证",#Symbol
"解：",解
"言论自由'",言论自由
"誓言'",誓言
"认真（日语）",认真
"讨厌'",讨厌
"让我扮演什么角色我都会♪",#Symbol
"讲？",讲
"讹人是不是？",#Symbol
"证据，",证据
"话 法",#Symbol
"语⼂⼀⼃⼂",#Symbol
"语言、数字等",#Symbol
"语音 ",语音
"说什么？",说什么
"诶。好无聊啊",#Symbol
"诶！",诶
"诶？",诶
"诶？！",诶
"请受我一拜。",#Symbol
"读书之类的…",#Symbol
"谁?不认识",#Symbol
"谁不是？",谁不是
"谁啊？",谁啊
"谁来着？",谁来着
"谁的特点？",谁的特点
"谁的问题？",谁的问题
"谁？",谁
"谋杀'",谋杀
"贝克街221B",贝克街221B
"财产 ",财产
"货比三家？",货比三家
"贵....",贵
"贵0",#Symbol
"费了九牛二虎之力，我终于登上了山巅",#Symbol
"费，",费
"贺天？",贺天
"资本'",资本
"赚钱！",赚钱
"赞歌颂歌。",#Symbol
"走吧，走吧，为自己的心找一个家",#Symbol
"赶d l",#Symbol
"赶紧的！",赶紧的
"起来，饥寒交迫的奴隶",#Symbol
"起源2",起源
"起起？",#Symbol
"超常、",超常
"超级可爱！",超级可爱
"超过200米",#Symbol
"超长 ",超长
"足交。。。。",足交
"跑步，",跑步
"跳绳'",跳绳
"跳舞吧！",跳舞吧
"跳＃",跳
"躲避'",躲避
"輻射4",辐射4
"车、",车
"车（象棋）",车
"转m' m",#Symbol
"软hu hu",#Symbol
"轻松‘’",轻松
"辉煌？",辉煌
"辐射4",辐射4
"输、",输
"输了=",输了
"输液瓶、",输液瓶
"达·芬奇",达芬奇
"运动（嘿嘿嘿",#Symbol
"运费'",运费
"近代的、民国的一种称呼",#Symbol
"还好？？",还好
"还是不要了吧？",#Symbol
"还有9",#Symbol
"还有什么鱼？",还有什么鱼
"还有吗？",还有吗
"还有？？？",还有
"这……",这
"这个。……",这个
"这事成了！",这事成了
"这他妈……",这他妈
"这是什么？",这是什么
"这样？",这样
"进击的巨人？",进击的巨人
"迪奥520",#Symbol
"逃跑'",逃跑
"通过-饿",#Symbol
"速8",#Symbol
"造孽，会遭报应",#Symbol
"道家（？",道家
"道歉 why",#Symbol
"道歉就道歉 ",#Symbol
"遗憾？",遗憾
"遭雷劈？",遭雷劈
"邓摇.jpg",#Symbol
"邓稼先……？",邓稼先
"那句名言。。",那句名言
"郡主……",郡主
"郭7条",#Symbol
"郭敬明？？？",郭敬明
"都是垃圾！",都是垃圾
"都死了……",都死了
"鄙夷3",鄙夷
"酒3",酒
"酒吞【yys",酒吞
"酒席，",酒席
"酒店‘",酒店
"酷？",酷
"酸的？",酸的
"酸菜 ",酸菜
"重【物理",重
"野外‘",野外
"金刚狼3",金刚狼3
"金融'",金融
"金钱'",金钱
"金鱼花火'",#Symbol
"针对感冒 ",#Symbol
"钉（动词）",钉
"钢琴'",钢琴
"钱????",钱
"钱啊，飞走了",#Symbol
"钱！",钱
"铁路。",铁路
"铜离子【如果没记错的话就是用铜离子消毒的】",铜离子
"铪？",铪
"银色的话说，",#Symbol
"错别字？",错别字
"长什么样子？",长什么样子
"长辈'",长辈
"长辈？",长辈
"関ジャニ∞",#Symbol
"闪电符号⚡️",闪电符号
"闭合'",闭合
"问6",#Symbol
"问好？",问好
"闹444",#Symbol
"阎王。。",阎王
"队长、",队长
"防晒霜'",防晒霜
"阳谋 谁？",#Symbol
"阿卡47",#Symbol
"阿尔弗雷德·F·琼斯",#Symbol
"降产能（。",降产能
"限速120",#Symbol
"陷入僵局，",陷入僵局
"隐私？",隐私
"隙间！",隙间
"难受、",难受
"雄壮'",雄壮
"雨下整夜 ",雨下整夜
"雨天‘",雨天
"雨天☔️",雨天
"雨蒙蒙…",雨蒙蒙
"雨（我朋友）",雨
"雪糕！",雪糕
"零下10度",#Symbol
"零食''",零食
"雷锋？",雷锋
"霸王硬上弓？",霸王硬上弓
"霸道总裁……",霸道总裁
"霸道总裁？",霸道总裁
"青壮年'",青壮年
"青蛙乱舞.jpg",#Symbol
"静谧'",静谧
"静谧的夜晚 ",静谧的夜晚
"静静''",静静
"非人，实际的",#Symbol
"非常6+1",#Symbol
"非常讨厌！",非常讨厌
"靠。",靠
"鞠躬‘’",鞠躬
"韦伯·维尔维特",韦伯维尔维特
"韩剧？",韩剧
"顶峰。。。",顶峰
"领导……",领导
"领导人？",领导人
"颈椎''",颈椎
"额……",额
"额，想不起了",#Symbol
"风大，",风大
"风险？",风险
"飞扬883",#Symbol
"飞船=",飞船
"饿（。",饿
"馍（是这个字 ，没错）",馍
"首付比例'",首付比例
"首都、",首都
"香槟？",香槟
"香雲（紗）",#Symbol
"马 车",马车
"马1/2",#Symbol
"马伊琍。",马伊琍
"马克思…？",马克思
"马车 ",马车
"马麻？",#Symbol
"骂人的“你妹",#Symbol
"骂人？",骂人
"骑行、",骑行
"骚气……",骚气
"高山流水'",高山流水
"高潮【x",高潮
"高科技？",高科技
"高空坠物？？",高空坠物
"高级干部？",高级干部
"高达00",高达00
"高高在上'",高高在上
"鬼？",鬼
"魂魄  ",魂魄 
"魅力'",魅力
"魔鬼????",魔鬼
"鱼",鱼
"鲁班？",鲁班
"鲁莽、",鲁莽
"鲁迅《热风》",热风
"鲤鱼2",鲤鱼
"鸡腿！！",鸡腿
"鹤顶红……？",鹤顶红
"鹿晗(。)",鹿晗
"麻：",麻
"黄牛、",黄牛
"黄的东西…",黄的东西
"黄色的'",黄色的
"黑8",黑
"黑夜，是我的面纱",#Symbol
"黑帮'",黑帮
"黑無毛！",#Symbol
"黑脸....",黑脸
"黑色/白色",#Symbol
"鼻子'",鼻子
"﻿⊙▽⊙",#Symbol
"！",#Symbol
"！东西",东西
"！作业",作业
"！！",#Symbol
"！！！",#Symbol
"％",#Symbol
"（。",#Symbol
"（一个人名）",一个人名
"（会想到五月天，奇怪吗）",#Symbol
"（水平）平平",#Symbol
"（猪）一样",#Symbol
"（竖拇指）",竖拇指
"（罪）与罚",罪与罚
"（重复了）",重复了
"（雷）声",雷声
"＊＊",#Symbol
"＋",#Symbol
"，",#Symbol
"，1",#Symbol
"，兴奋",兴奋
"，嗯",嗯
"，大海",大海
"，希望",希望
"，我",我
"，星星",星星
"，联想",联想
"，血",血
"，雪",雪
"，，不知道",不知道
"，，，",#Symbol
"：",#Symbol
"：）",#Symbol
"：：不良",不良
"；",#Symbol
"；利国利民",利国利民
"＞",#Symbol
"？",#Symbol
"？化学",化学
"？沟壑",沟壑
"？遵守",遵守
"？？",#Symbol
"？？？",#Symbol
"？？？？",#Symbol
"？？？？？？",#Symbol
"ａ４纸",A4纸
"～",#Symbol
"TVB",TVB
"aaaa",#Symbol
"aa制",AA制
"AA制",AA制
"ABCD",ABCD
"abcd",ABCD
"Abcd",ABCD
"ab胶",#Symbol
"AB面",#Symbol
"ACCA",ACCA
"acca",ACCA
"ACDC",#Symbol
"ACFUN",acfun
"ACG",ACG
"acg",ACG
"acgn",#Symbol
"ACGN",#Symbol
"ACG同人",ACG同人
"ACG文化",ACG文化
"acu",#Symbol
"Acup",#Symbol
"AC米兰",#Symbol
"AD钙奶",AD钙奶
"aeiou",#Symbol
"AE二维包装",#Symbol
"ae软件",#Symbol
"ahon",#Symbol
"aibo",#Symbol
"aiesec",#Symbol
"aiismx",#Symbol
"AiKaBu",#Symbol
"Airbnb",Airbnb
"airbnb",Airbnb
"ai智能",AI智能
"aj",#Symbol
"akb",AKB
"AKB",AKB
"akira",#Symbol
"alphabeta",#Symbol
"Ameng",#Symbol
"AM游戏",#Symbol
"aniki",#Symbol
"anz",#Symbol
"aoch",#Symbol
"aoe",#Symbol
"aoeiu",#Symbol
"aoi",#Symbol
"APEC",#Symbol
"APH",#Symbol
"APM换乘",#Symbol
"appointmeny",#Symbol
"AP小白云",#Symbol
"arashi",ARASHI
"ARASHI",ARASHI
"Arashi",ARASHI
"arguement",#Symbol
"Ariana",#Symbol
"asid",#Symbol
"ASMR",ASMR
"asmr",ASMR
"asos",#Symbol
"asoul",#Symbol
"aspa",#Symbol
"Atk",#Symbol
"ATM机",ATM机
"atm机",ATM机
"ATOLS",#Symbol
"AT离场",#Symbol
"auful",#Symbol
"av画面",av画面
"av小电影",av小电影
"AWM",#Symbol
"a爱好",爱好
"a安木",#Symbol
"a嗷",#Symbol
"A杯",A杯
"A本",A本
"A股",A股
"A货",A货
"A计划",#Symbol
"a里",#Symbol
"A路人",#Symbol
"A面B面",#Symbol
"A片",A片
"a片",A片
"A社",#Symbol
"A胜",#Symbol
"a叔",#Symbol
"a站",A站
"A杖",#Symbol
"A罩",#Symbol
"A字",#Symbol
"a字裙",A字裙
"A字形状",#Symbol
"baidu",baidu
"baisr",#Symbol
"baiyin",#Symbol
"banboo",#Symbol
"baozi",#Symbol
"ba爆炸",爆炸
"bba",#Symbol
"bbaba",#Symbol
"BBC迷你剧",BBC迷你剧
"BB机",BB机
"BDA",#Symbol
"BDSM",BDSM
"bdsm",BDSM
"bebo",#Symbol
"BEC高级",#Symbol
"beiji",#Symbol
"beyong",#Symbol
"BGM",BGM
"bgm",BGM
"bian",#Symbol
"biáng",#Symbol
"bip",#Symbol
"biss",#Symbol
"biubiubiubiu",#Symbol
"biysn",#Symbol
"bjd",#Symbol
"bjd卡肉",#Symbol
"blabla",#Symbol
"bladi",#Symbol
"BLM",#Symbol
"bl本",bl本
"bl向",bl向
"bmi",BMI
"BMI",BMI
"BNEI",#Symbol
"BNGI",#Symbol
"bobo頭",#Symbol
"bochi",#Symbol
"Bosie",#Symbol
"boss战",#Symbol
"Botton",#Symbol
"BPD",#Symbol
"bucu",#Symbol
"butalso",#Symbol
"bvs",#Symbol
"B超",B超
"b格",b格
"B级",B级
"b级",B级
"b级片",B级片
"B计划",#Symbol
"B门和三脚架",#Symbol
"b叔",#Symbol
"b站",B站
"B站up主",B站up主
"b站up主",B站up主
"b站剪辑",B站剪辑
"caiqiang",#Symbol
"cakdk",#Symbol
"call我",#Symbol
"canlie",#Symbol
"cao",#Symbol
"carrer",#Symbol
"CASC",#Symbol
"casy",#Symbol
"catia",#Symbol
"catman",#Symbol
"CBA",CBA
"CBD",CBD
"cbd",#Symbol
"cbyl",#Symbol
"ccav",#Symbol
"ccc",#Symbol
"cc老师",#Symbol
"cdma",#Symbol
"CD唱片",CD唱片
"cd碟片",CD碟片
"cd光盘",CD光盘
"CD机",CD机
"cei了",#Symbol
"celler",#Symbol
"cet",#Symbol
"CF游戏",#Symbol
"chamuptou",#Symbol
"chaptu",#Symbol
"cheap精",#Symbol
"cheif",#Symbol
"chorm",#Symbol
"chu",#Symbol
"chui",#Symbol
"ciji",#Symbol
"Cinderlla",#Symbol
"Claris",#Symbol
"cloase",#Symbol
"cloudl",#Symbol
"cmd",#Symbol
"CMYK",#Symbol
"cn",#Symbol
"cnm",#Symbol
"CNM",#Symbol
"cnmmbd",#Symbol
"coc",#Symbol
"consider后面用ing形式",#Symbol
"cood",#Symbol
"corser",#Symbol
"coser",coser
"COS服",COS服
"CPB",#Symbol
"cpb",#Symbol
"cp发糖",cp发糖
"cp粉",cp粉
"cp名",cp名
"CP值",#Symbol
"crtl",#Symbol
"csgo",#Symbol
"css",#Symbol
"CTO",#Symbol
"CT检查",CT检查
"ct片袋",CT片袋
"cubase",#Symbol
"cult片",#Symbol
"cvte",#Symbol
"C大调",C大调
"c盒",#Symbol
"C菌",#Symbol
"c罗",C罗
"C罗",C罗
"c妈",#Symbol
"C盘",C盘
"c位",C位
"C位",C位
"c语言",C语言
"C语言",C语言
"c语音",#Symbol
"c元素",#Symbol
"daigo",#Symbol
"daite",#Symbol
"dakong",#Symbol
"dalao",#Symbol
"dash岛",#Symbol
"dasin",#Symbol
"dcda",#Symbol
"DC漫画",#Symbol
"dddd",#Symbol
"dddddd",#Symbol
"ddf",#Symbol
"ddg",#Symbol
"Ddhj",#Symbol
"ddl",ddl
"DDL",ddl
"ddl干不完",ddl干不完
"ddr",#Symbol
"DDR",#Symbol
"Dean桑",#Symbol
"debet",#Symbol
"debuff",debuff
"deki",#Symbol
"denggai",#Symbol
"denggei",#Symbol
"df",#Symbol
"dfdf",#Symbol
"dff",#Symbol
"Dhdh",#Symbol
"diao",#Symbol
"didi",#Symbol
"DIO",#Symbol
"disowk",#Symbol
"dity",#Symbol
"diy编织",diy编织
"diy相册",diy相册
"djdhn",#Symbol
"djdi",#Symbol
"djdj",#Symbol
"djgdbdudu大江大河不到底",#Symbol
"djsi",#Symbol
"djxkx",#Symbol
"DJ不得不说",#Symbol
"DJ不对不对",#Symbol
"DJ更多的v",#Symbol
"DJ还打不打",#Symbol
"DJ互相喜欢",#Symbol
"DJ洗碗",#Symbol
"DJ像不像你",#Symbol
"dlc",#Symbol
"dmmd",#Symbol
"dnax",#Symbol
"DNA坚定",#Symbol
"dna结构",DNA结构
"dnd",#Symbol
"dnf",#Symbol
"dnf真好玩",#Symbol
"doi",#Symbol
"doki爬梯",#Symbol
"dongx",#Symbol
"doremi",#Symbol
"DOTA",dota
"dota",dota
"Dota",dota
"dota屠夫",dota屠夫
"DQ",#Symbol
"dsf",#Symbol
"dsfdf",#Symbol
"dsfds",#Symbol
"dsfdsf",#Symbol
"dsfsd",#Symbol
"Duang",#Symbol
"duoduo",#Symbol
"duo人",#Symbol
"du腐乳",#Symbol
"dva",#Symbol
"DVF",#Symbol
"DV机",#Symbol
"DW",#Symbol
"D盘",D盘
"D音响",音响
"d专注",专注
"earser",#Symbol
"Eason",#Symbol
"ec初遇",#Symbol
"EDG",#Symbol
"edg牛逼",#Symbol
"ejdi",#Symbol
"ek",#Symbol
"eliet",#Symbol
"eluosi",#Symbol
"emegient",#Symbol
"EMH",#Symbol
"emmm",#Symbol
"emmmm",#Symbol
"emphy",#Symbol
"enfp",#Symbol
"entj",#Symbol
"ENTJ",#Symbol
"ero",#Symbol
"erw",#Symbol
"EVA中的熏",#Symbol
"ewr",#Symbol
"ewrw",#Symbol
"ewrwe",#Symbol
"excell",#Symbol
"EXID",#Symbol
"EXO",EXO
"exo粉丝",EXO粉丝
"ex咖喱棒",#Symbol
"e锅铲",锅铲
"e核",#Symbol
"e可赛艇",#Symbol
"e陆乌黑",#Symbol
"e通卡",#Symbol
"e小调",E小调
"faceu",#Symbol
"face纸",#Symbol
"Fak",#Symbol
"falst",#Symbol
"falvor",#Symbol
"famer",#Symbol
"fantasty",#Symbol
"fanzui",#Symbol
"farbe",#Symbol
"fasha",#Symbol
"fatego",#Symbol
"FATE杀阶",#Symbol
"fbhg",#Symbol
"FC二",#Symbol
"fdd",#Symbol
"fds",#Symbol
"feiji",#Symbol
"feker",#Symbol
"FFF",FFF
"fff",FFF
"ffff",#Symbol
"FFF团",FFF团
"fff团",FFF团
"Ffsd",#Symbol
"FF团",#Symbol
"fgo",FGO
"FGO",FGO
"fgo新英灵",FGO新英灵
"firend",#Symbol
"fi爆炸",#Symbol
"fjjd",#Symbol
"fllow",#Symbol
"fMRI",#Symbol
"FOB价",#Symbol
"foodprint",#Symbol
"fsdfds",#Symbol
"FSM",#Symbol
"furry控",furry控
"fushe",#Symbol
"fuyu",#Symbol
"FV",#Symbol
"f电费",电费
"F检验",F检验
"F王子",王子
"f新闻",新闻
"Gai",#Symbol
"gai",#Symbol
"gaizui",#Symbol
"gakki",#Symbol
"gakki舞",#Symbol
"Gamt",#Symbol
"ganble",#Symbol
"GangL",#Symbol
"ganma",#Symbol
"gansta",#Symbol
"gantz",#Symbol
"gay密",gay密
"GBA",#Symbol
"GBF",#Symbol
"gdp水平",GDP水平
"gehor",#Symbol
"gelb",#Symbol
"Gewalt",#Symbol
"gff",#Symbol
"gffg",#Symbol
"GFW",#Symbol
"gg",#Symbol
"GG",#Symbol
"GGAD",#Symbol
"gilr",#Symbol
"giuaosheing",#Symbol
"giuaoxieng",#Symbol
"gmail",#Symbol
"Gmail",#Symbol
"gogogo",#Symbol
"gongyu",#Symbol
"GPD",#Symbol
"gpf",#Symbol
"GPS导航",#Symbol
"gta",GTA
"GTA",GTA
"gtr",#Symbol
"gudu",#Symbol
"guimei",#Symbol
"guita",#Symbol
"guo",#Symbol
"guoqi",#Symbol
"gv",GV
"GV",GV
"gvg国际经济",#Symbol
"gxr一副乖宝宝",#Symbol
"gy",#Symbol
"g古板",#Symbol
"G胖",#Symbol
"G图",G图
"g罩杯",#Symbol
"habbit",#Symbol
"hahaha",#Symbol
"Haircover",#Symbol
"hakama",#Symbol
"hansu",#Symbol
"hdhdb",#Symbol
"HDI",#Symbol
"hea",#Symbol
"hehe",#Symbol
"hejiu",#Symbol
"henso",#Symbol
"HENTAI",#Symbol
"hf不分",#Symbol
"hhh",#Symbol
"hhhhh",#Symbol
"hhhhhh",#Symbol
"hifi",#Symbol
"hina",#Symbol
"hini",#Symbol
"hipop",#Symbol
"hobit",#Symbol
"HOF",#Symbol
"home键",#Symbol
"hongse",#Symbol
"hornor",#Symbol
"houhui",#Symbol
